date,CAD,MXN,BRL,CLP,COP,BIT
2018-05-01,1.28452,18.935499,3.5061,613.299988,2803,1.08e-4
2018-05-02,1.2882,19.090799,3.5496,616.900024,2831,1.03e-4
2018-05-03,1.28506,19.0459,3.5266,618.099976,2857,1.03e-4
2018-05-06,1.28558,19.254499,3.5255,617.599976,2814.899902,1.07e-4
2018-05-07,1.2879,19.4251,3.5492,628.900024,2814,1.09e-4
2018-05-08,1.2944,19.548599,3.5619,634.200012,2871,1.07e-4
2018-05-09,1.28497,19.5672,3.5903,633.900024,2855.550049,1.11e-4
2018-05-10,1.27698,19.2369,3.5495,622.700012,2823,1.19e-4
2018-05-13,1.2781,19.3424,3.6029,617.900024,2779.600098,1.15e-4
2018-05-14,1.28,19.576599,3.6216,624.900024,2835.570068,1.18e-4
2018-05-15,1.28721,19.669399,3.6487,632,2883,1.2e-4
2018-05-16,1.2782,19.562599,3.6744,630.599976,2867.800049,1.24e-4
2018-05-17,1.28355,19.748699,3.6951,632.200012,2888.800049,1.21e-4
2018-05-20,1.28771,19.8899,3.7384,637,2860.300049,1.19e-4
2018-05-21,1.27759,19.823601,3.6757,636.599976,2876,1.25e-4
2018-05-22,1.2816,19.7624,3.646,623.700012,2848.699951,1.33e-4
2018-05-23,1.2834,19.634399,3.6256,622.5,2866.139893,1.32e-4
2018-05-24,1.2883,19.566401,3.6481,626.400024,2862.27002,1.34e-4
2018-05-27,1.29761,19.5331,3.6262,622.5,2875,1.4e-4
2018-05-28,1.29917,19.5861,3.7342,624,2874,1.34e-4
2018-05-29,1.303,19.8398,3.7241,629,2904,1.35e-4
2018-05-30,1.28931,19.7752,3.7221,627.200012,2877,1.33e-4
2018-05-31,1.29441,19.9035,3.722,630.099976,2889,1.33e-4
2018-06-03,1.2954,19.9424,3.7616,631,2857.600098,1.33e-4
2018-06-04,1.2924,20.063299,3.7445,630.799988,2859,1.31e-4
2018-06-05,1.2939,20.3939,3.8043,633.299988,2854,1.31e-4
2018-06-06,1.29458,20.2936,3.8434,627.400024,2829,1.3e-4
2018-06-07,1.2982,20.4177,3.9007,630.599976,2847,1.31e-4
2018-06-10,1.29689,20.3258,3.7049,628.099976,2793.699951,1.45e-4
2018-06-11,1.29872,20.561501,3.7088,632.799988,2858.100098,1.53e-4
2018-06-12,1.30159,20.6922,3.715,637.099976,2861,1.58e-4
2018-06-13,1.29733,20.654301,3.7188,634.799988,2858,1.51e-4
2018-06-14,1.31161,20.8386,3.804,636.5,2862,1.56e-4
2018-06-17,1.3197,20.6828,3.7287,632.200012,2893,1.49e-4
2018-06-18,1.32112,20.5497,3.7462,636.200012,2923,1.48e-4
2018-06-19,1.32788,20.510401,3.745,639.599976,2921,1.48e-4
2018-06-20,1.33066,20.359501,3.7691,639.900024,2917,1.49e-4
2018-06-21,1.33174,20.310301,3.7651,639.599976,2951,1.65e-4
2018-06-24,1.32788,20.0305,3.7863,637.799988,2914,1.6e-4
2018-06-25,1.32976,19.9058,3.7751,638.200012,2915,1.64e-4
2018-06-26,1.33016,19.9226,3.7958,640.5,2930,1.63e-4
2018-06-27,1.33294,20.1548,3.8601,645.799988,2944,1.7e-4
2018-06-28,1.32552,19.7293,3.8595,649,2944.5,1.61e-4
2018-07-01,1.31478,19.7943,3.8756,653.400024,2920.030029,1.51e-4
2018-07-02,1.31874,19.964001,3.9126,657.299988,2929,1.54e-4
2018-07-03,1.3142,19.493299,3.8963,649.400024,2904,1.52e-4
2018-07-04,1.31391,19.423901,3.911,651.099976,2904.800049,1.53e-4
2018-07-05,1.3136,19.252501,3.9313,656,2876,1.51e-4
2018-07-08,1.30959,19.0611,3.8659,656.400024,2822.5,1.5e-4
2018-07-09,1.31103,19.1777,3.8713,650.099976,2883,1.59e-4
2018-07-10,1.3143,19.0119,3.8151,647.799988,2870,1.56e-4
2018-07-11,1.3207,19.058599,3.8761,652.799988,2870,1.6e-4
2018-07-12,1.31652,18.9697,3.8807,648.599976,2874,1.61e-4
2018-07-15,1.3156,18.902,3.8494,649.900024,2858,1.48e-4
2018-07-16,1.31363,18.833,3.856,649.599976,2874,1.36e-4
2018-07-17,1.32034,18.8848,3.8359,653.5,2869,1.35e-4
