date,EWW,EWZ,EWC,ECH,GXG,SPY
2018-05-02,48.999397,39.797268,27.413124,51.766956,10.538827,259.328278
2018-05-03,48.295216,39.458199,27.432644,51.394604,10.422376,258.756775
2018-05-04,47.718178,39.477573,27.627825,51.061443,10.480602,262.106781
2018-05-07,46.53476,38.847866,27.705896,50.943859,10.451489,262.993561
2018-05-08,46.49564,38.857559,27.676619,50.17955,10.305924,262.993561
2018-05-09,46.26091,39.216003,27.969391,50.640095,10.383559,265.535583
2018-05-10,47.493233,40.552914,28.340235,51.953133,10.577644,268.018494
2018-05-11,47.013992,39.66164,28.320715,52.109913,10.529123,268.836273
2018-05-14,46.34893,39.380695,28.47686,51.619972,10.597053,268.964386
2018-05-15,45.928379,38.88662,28.379269,51.061443,10.451489,267.11203
2018-05-16,46.231567,39.312885,28.525654,51.286816,10.315629,268.235229
2018-05-17,45.29266,37.859718,28.613487,50.894863,10.063318,268.008667
2018-05-18,44.549355,37.104073,28.437822,50.620499,9.985684,267.338654
2018-05-21,44.383091,37.191265,28.701317,50.434319,10.073023,269.348633
2018-05-22,45.009029,38.140663,28.554932,51.081039,10.218586,268.599792
2018-05-23,45.693653,37.433456,28.467102,51.237823,10.131248,269.338776
2018-05-24,45.05793,36.94907,28.271919,50.267742,10.237995,268.787048
2018-05-25,44.989468,36.086861,28.06698,50.336334,10.131248,268.146606
2018-05-29,43.727806,34.226814,27.647341,49.150681,10.131248,265.062622
2018-05-30,44.167923,34.565884,28.17433,49.229073,10.315629,268.599792
2018-05-31,43.698467,34.507759,28.047462,48.905708,10.315629,266.954376
2018-06-01,43.991875,34.69183,28.008427,48.9743,10.558236,269.575287
2018-06-04,43.982098,35.282776,27.500957,49.846394,10.606757,270.85614
2018-06-05,42.818237,33.878056,28.106016,49.131081,10.597053,271.053192
2018-06-06,43.238792,33.403355,28.242645,49.297665,10.567941,273.319366
2018-06-07,42.896481,31.688623,28.223125,48.729332,10.461193,273.289825
2018-06-08,43.933193,33.073971,28.349993,49.287865,10.412671,274.097778
2018-06-11,43.649567,32.744587,28.340235,49.121284,10.335037,274.462311
2018-06-12,43.786491,33.093349,28.310957,49.003696,10.373855,274.817017
2018-06-13,43.688683,32.744587,28.349993,48.954704,10.441785,273.940094
2018-06-14,43.874512,31.659561,28.271919,48.827324,10.373855,274.629822
2018-06-15,44.070118,32.00832,28.008427,48.778328,10.257403,274.279449
2018-06-18,44.1777,31.552994,28.125536,48.209999,10.325334,273.715332
2018-06-19,43.98354,32.223667,27.795063,47.580914,10.092431,272.666199
2018-06-20,44.667068,32.046398,27.952431,47.580914,10.005094,273.131378
2018-06-21,44.558098,31.396406,27.775391,47.071648,9.956572,271.419159
2018-06-22,45.350594,31.553982,28.040951,47.161518,10.034205,271.914032
2018-06-25,45.697315,31.829733,27.519669,46.74213,9.995389,268.212494
2018-06-26,45.766655,31.662313,27.726215,46.382652,10.082727,268.806335
2018-06-27,45.18219,30.529757,27.499998,46.013187,10.04391,266.579468
2018-06-28,46.4799,31.406256,27.657368,45.693649,10.082727,268.103638
2018-06-29,46.697838,31.563828,28.040951,45.973244,10.17977,268.489624
2018-07-02,45.519001,31.38656,27.893417,45.643723,10.131248,269.06366
2018-07-03,46.915775,32.056244,27.972101,46.262825,10.354446,268.113525
2018-07-05,49.154575,31.80019,28.040951,45.543869,10.344742,270.300781
2018-07-06,49.956981999999996,32.676689,28.306509,45.673683,10.412671,272.587036
2018-07-09,49.937168,33.031227,28.454041,46.452549,10.344742,275.041534
2018-07-10,50.432476,33.178951,28.640915,46.562389,10.461193,276.031219
2018-07-11,49.927261,32.243362,28.247494,45.983231,10.267108,274.012238
2018-07-12,49.966885,32.893353,28.5819,46.292782,10.325334,276.496399
2018-07-13,49.778667,33.533489,28.591736,46.142998,10.354446,276.714142
2018-07-16,50.026321,33.375916,28.513052,45.963257,10.257403,276.466705
2018-07-17,50.125385,34.291809,28.454041,46.472519,10.315629,277.585114
2018-07-18,50.283882,33.868332,28.404861,46.552402,10.364151,278.169037
2018-07-19,49.630074,33.976665,28.355684,45.843433,10.286517,277.119934
2018-07-20,50.006512,35.109222,28.424534,46.412605,10.335037,276.803223
2018-07-23,50.293793,34.794075,28.306509,46.043144,10.208883,277.317871
2018-07-24,50.739571,35.690273,28.385193,46.981781,10.2477,278.713348
2018-07-25,51.393379,36.586468000000004,28.640915,47.491043,10.170065,281.088684
2018-07-26,51.244785,35.562244,28.650749,47.391186,10.170065,280.425568
2018-07-27,51.383472,36.172836,28.562231,47.071648,10.228291,278.52533
2018-07-30,51.690567,36.202381,28.591736,47.451099,10.315629,277.070465
2018-07-31,51.492439,35.552391,28.729433,48.150085,10.2477,278.436218
2018-08-01,51.234882,35.444065,28.631079,47.381203,10.228291,277.971069
2018-08-02,50.670227,35.68042,28.719599,47.081638,10.04391,279.485382
2018-08-03,51.403286,36.980396,28.75894,47.431129,10.073023,280.682892
2018-08-06,51.433002,36.468285,28.857294,46.702187,10.082727,281.712189
2018-08-07,52.403812,35.808449,28.385193,46.80204,10.073023,282.642517
2018-08-08,52.245316,35.355431,28.503216,46.422592,10.014797,282.523743
2018-08-09,50.917881,34.863014,28.640915,46.003201,9.995389,282.137787
2018-08-10,49.154575,33.326675,28.306509,45.124477,9.840121,280.247437
2018-08-13,49.085232,33.503944,28.208153,44.465431,9.607218,279.198334
2018-08-14,50.214539,34.17363,28.503216,44.675133,9.616922,280.979797
2018-08-15,48.748421,33.287281,27.991772,43.526798,9.442245,278.881622
2018-08-16,48.788048,33.119862,28.099962,44.066013,9.646035,281.138184
2018-08-17,49.342796,32.775169,28.473711,44.016087,9.636332,282.127899
2018-08-20,49.550827,32.578205,28.473711,44.066013,9.597514,282.731628
2018-08-21,50.35323,31.49489,28.404861,44.345608,9.781895,283.394714
2018-08-22,51.373566,32.115334,28.611408,44.91478,9.878938,283.226471
2018-08-23,50.541447,31.051718,28.36552,44.245754,9.781895,282.85040299999997
2018-08-24,50.70985,31.485043,28.513052,44.92477,9.927459,284.552673
2018-08-27,51.73019,32.312302,28.837624,45.164417,10.014797,286.799347
2018-08-28,50.472103,31.701704,28.739267,44.87484,9.985684,286.937897
2018-08-29,51.106098,32.302452,28.837624,44.675133,9.830417,288.481842
2018-08-30,49.956981999999996,31.1502,28.690092,43.35704,9.675148,287.313965
2018-08-31,49.867825,31.957762,28.326178,43.277161,9.626627,287.323883
2018-09-04,48.57011,30.490362,27.863911,41.879189,9.393724,286.82901
2018-09-05,48.381893,30.707026,27.82457,41.909145,9.316091,286.057037
2018-09-06,48.867298,31.553982,27.804899,42.068916,9.180231,285.196014
2018-09-07,48.817764,32.01685,27.696709,42.20871,9.189936,284.641754
2018-09-10,48.837578,31.652464,27.6672,41.769352,9.112301,285.136597
2018-09-11,49.005985,30.529757,27.84424,41.939102,9.131709,286.076813
2018-09-12,49.917355,30.775965,27.972101,42.787868,9.442245,286.146118
2018-09-13,50.888161,30.254004,27.942595,44.11594,9.481063,287.838531
2018-09-14,50.541447,30.746418,27.873747,44.185841,9.442245,287.888
2018-09-17,50.412663,31.642616,27.972101,44.595245,9.490767,286.363831
2018-09-18,50.749474,32.036545,28.336014,44.964706,9.558698,287.917725
2018-09-19,50.838631,32.036545,28.395027,45.463982,9.510176,288.224518
2018-09-20,50.66032,32.469875,28.542559,46.053127,9.636332,290.560242
2018-09-21,50.51173,33.247887,28.572065,46.182941,9.558698,290.294769
2018-09-24,50.026321,32.292606,28.454041,45.583813,9.578105,289.330414
2018-09-25,50.214539,32.627449,28.336014,45.483955,9.58781,289.061981
2018-09-26,50.521633,33.139561,28.227825,45.414055,9.58781,288.197052
2018-09-27,50.650414,33.828938,28.296673,45.374115,9.65574,289.002319
2018-09-28,50.749474,33.218346,28.306509,45.244305,9.704261,289.032166
2018-10-01,51.125912,33.198647,28.640915,45.244305,9.713965,290.036316
2018-10-02,50.35323,35.069828,28.404861,45.334175,9.684852,289.867279
2018-10-03,49.521107,36.34026,28.473711,45.453999,9.713965,290.026367
2018-10-04,48.857391,35.956173,28.227825,44.355591,9.626627,287.759583
2018-10-05,49.114956,36.103901,28.060621,43.696548,9.500471,286.148987
2018-10-08,48.867298,38.536434,27.962267,44.275711,9.45195,286.148987
2018-10-09,49.015888,38.979607,27.913088,43.766449,9.471359,285.731415
2018-10-10,48.203583,37.541752,27.047565,42.478321,9.199638,276.684265
2018-10-11,48.064896,36.941002,26.683653,42.598145,9.073484,270.589874
2018-10-12,48.253113,38.024319,26.82135,42.997566,9.180231,274.347931
2018-10-15,48.609737,37.630386,26.831186,42.827812,9.06378,272.806915
2018-10-16,49.322983,38.851578,27.244276,43.646622,9.286978,278.772064
2018-10-17,48.688988,39.284901,27.057402,43.18729,9.26757,278.821808
2018-10-18,47.074276,38.004623,26.654148,42.588161,9.112301,274.795288
2018-10-19,47.183243,38.359161,26.742666,42.408421,9.06378,274.646179
2018-10-22,46.390747,39.176571,26.693489,42.348507,9.044371,273.413361
2018-10-23,46.093559,38.959911,26.477108,42.20871,8.879398,272.021484
2018-10-24,44.835472,37.364483,25.916487,41.569641,8.568862,263.779633
2018-10-25,45.608158,38.408401,25.926323,42.148796,8.530046,268.511963
2018-10-26,45.449657,39.432629,25.827967,42.178757,8.491228,263.789551
2018-10-29,42.20042,38.044018,25.523067,41.090336,8.433002,262.328094
2018-10-30,42.041924,39.777317,25.896814,41.150246,8.384481,266.215393
2018-10-31,41.685303,39.540962,26.073854,41.459801,8.384481,269.058807
2018-11-01,43.428791,40.427307,26.349249,43.227234,8.442707,271.922089
2018-11-02,43.765602,40.978813,26.30007,43.726509,8.500933,270.311493
2018-11-05,45.023693,40.614426,26.447601,43.686565,8.559157,271.802795
2018-11-06,45.112846,39.954586,26.516449,43.846333,8.646496,273.522736
2018-11-07,45.271347,39.757622,26.683653,43.976147,8.869695,279.37854
2018-11-08,42.210331,38.615215,26.565628,43.896259,8.830877,278.87149
2018-11-09,42.339111,38.861423,26.339413,43.007549,8.743539,276.1474
2018-11-12,41.110741,38.359161,26.073854,42.27861,8.481524,270.987549
2018-11-13,40.199371,37.73872,26.044348,42.078899,8.442707,270.480499
2018-11-14,40.338058,38.329617,26.123032,42.737942,8.53975,268.631317
2018-11-15,39.86256,39.265205,26.250893,43.536781,8.811469,271.434906
2018-11-16,40.991867,39.865952,26.309906,43.92622,8.898808,272.140808
2018-11-19,40.793743,39.3046,26.113195,43.716518,8.821174,267.537689
2018-11-20,39.921997,37.975079,25.503397,43.01754,8.559157,262.586578
2018-11-21,39.981434,38.802338,26.083691,43.536781,8.471819,263.481354
2018-11-23,39.347439,38.112953,25.729612,42.967609,8.326256,261.721649
2018-11-26,37.405819,36.852367,25.926323,42.967609,8.316551,265.94696
2018-11-27,38.029911,38.437946,25.719776,42.987579,8.287438,266.841736
2018-11-28,39.723869,39.20612,26.152538,43.396984,8.238917,272.98584
2018-11-29,40.357872,39.215965,26.191879,43.486855,8.394185,272.389343
2018-11-30,39.951717,39.196266,26.201715,42.977596,8.33596,274.049652
2018-12-03,40.189465,39.383389,26.467274,43.806389,8.588271,277.678436
2018-12-04,39.515842,38.684155,26.005007,43.297131,8.549454,268.681
2018-12-06,40.238995,38.841728,25.513231,43.227234,8.530046,268.273376
2018-12-07,40.219181,38.073563,25.375534,42.777885,8.500933,262.039795
2018-12-10,39.793213,37.059185,25.119814,42.27861,8.365072,262.536896
2018-12-11,39.704063,37.472813,25.021458,41.999016,8.326256,262.596527
2018-12-12,40.298431,38.103104,25.29685,42.867756,8.384481,263.918793
2018-12-13,39.981434,38.240982,25.247673,42.997566,8.326256,263.829315
2018-12-14,39.892277,37.748569,24.95261,42.697998,8.190395,258.957794
2018-12-17,39.287998,37.265999,24.451,42.008999,8.141875,253.877457
2018-12-18,39.990002,37.66,24.450001,41.849998,8.064241,253.599075
2018-12-19,40.119999,36.889999,24.16,41.5,7.918677,249.801239
2018-12-20,41,37.560001,23.93,41.189999,7.579028,245.735001
2018-12-21,40.419998,37.139999,23.43,41,7.520802,240.699997
2018-12-24,40.599998,36.630001,23.1,40.689999,7.530507,234.339996
2018-12-26,41,37.299999,23.82,41.849998,7.782818,246.179993
2018-12-27,41.040001,37.75,23.709999,41.580002,7.744,248.070007
2018-12-28,41.139999,38.080002,23.85,41.330002,7.79,247.75
2018-12-31,41.18,38.200001,23.959999,41.41,7.79,249.919998
2019-01-02,42.32,40.639999,24.18,41.630001,7.95,250.179993
2019-01-03,41.790001,40.900002,24.030001,41.459999,7.92,244.210007
2019-01-04,42.650002,41.82,24.65,42.849998,8.18,252.389999
2019-01-07,43.150002,41.400002,24.92,43.009998,8.23,254.380005
2019-01-08,43.860001,41.900002,25.190001,43.330002,8.38,256.769989
2019-01-09,44.349998,42.959999,25.66,43.959999,8.51,257.970001
2019-01-10,44.450001,42.900002,25.77,44.529999,8.57,258.880005
2019-01-11,44.259998,42.779999,25.719999,44.529999,8.53,258.980011
2019-01-14,44.470001,42.98,25.82,44.779999,8.58,257.399994
2019-01-15,44.720001,42.740002,25.959999,44.93,8.61,260.350006
2019-01-16,45.209999,42.669998,26.040001,45.380001,8.7,260.980011
2019-01-17,45.09,43.02,26.25,45.57,8.68,262.959991
2019-01-18,45.07,43.200001,26.42,45.889999,8.69,266.459991
2019-01-22,44.34,42.150002,26.16,45.150002,8.65,262.859985
2019-01-23,44.68,43.290001,26.110001,45.189999,8.64,263.410004
2019-01-24,44.610001,43.650002,26.26,45.34,8.7,263.549988
2019-01-25,44.810001,43.82,26.620001,45.59,8.77,265.779999
2019-01-28,44.610001,42.869999,26.57,45.369999,8.75,263.76001
2019-01-29,44.810001,43.439999,26.73,45.470001,8.8,263.410004
2019-01-30,44.610001,44.599998,26.959999,46.150002,8.9,267.579987
2019-01-31,45,45.369999,27.049999,46.720001,9.17,269.929993
2019-02-01,44.849998,45.400002,27.129999,46.790001,9.17,270.059998
2019-02-04,45.09,45.459999,27.200001,47.360001,9.28,271.959991
2019-02-05,45.580002,45.209999,27.360001,47.330002,9.37,273.100006
2019-02-06,45.23,43.330002,27.200001,46.84,9.39,272.73999
2019-02-07,45,43.049999,27.01,46.75,9.21,270.140015
2019-02-08,44.43,43.07,26.950001,46.029999,9.17,270.470001
2019-02-11,43.93,42.490002,26.700001,45.68,9.18,270.619995
2019-02-12,43.98,43.700001,27.01,45.700001,9.21,274.100006
2019-02-13,42.630001,43.07,26.959999,45.490002,9.14,274.98999
